Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
4,2926.67,4685,50793,50938,2171,27794,44,3,121195,135570,273040,288690
4,3213.33,4751,31635,58015,2253,27796,43,2,121492,123260,123799,290592
4,2856.67,4663,54273,50268,2468,27876,45,2,123800,143775,280697,305295
4,2776.67,4629,58310,50843,2625,27806,43,2,123014,262684,272245,451773
4,2666.67,4891,67388,47472,2707,27879,45,2,123792,273399,275600,466958
4,3106.67,4863,41817,52038,2125,27794,42,2,121131,122718,126035,285909
4,2966.67,5269,47660,52246,2134,27815,42,1,121044,128020,278396,312649
4,3000,4309,48167,51329,1853,27715,40,3,119414,123477,271719,277148
4,3030,4316,40786,54201,1958,27791,44,2,120039,122252,124878,311393
4,3210,5028,32893,56624,1994,27903,42,2,120726,122806,123636,269960
4,2930,5335,50419,52899,2103,27768,42,1,120602,122275,268002,490123
4,2890,5232,47058,53793,2487,27907,46,1,123289,143819,278484,292148
4,2940,5337,43070,56476,2683,28384,47,1,125468,126482,264497,317483
